iter	Passed	Remaining
402	11725	17370
403	11746	17329
404	11773	17296
405	11799	17263
406	11825	17229
407	11858	17206
408	11883	17170
409	11903	17129
410	11926	17091
411	11949	17054
412	11974	17019
413	11997	16982
414	12031	16960
415	12065	16937
416	12085	16896
417	12107	16858
418	12133	16825
419	12155	16785
420	12179	16750
421	12202	16713
422	12233	16687
423	12256	16650
424	12277	16610
425	12300	16573
426	12321	16533
427	12344	16497
428	12365	16458
429	12386	16419
430	12419	16396
431	12446	16364
432	12469	16328
433	12492	16292
434	12515	16255
435	12537	16218
436	12561	16183
437	12586	16149
438	12619	16126
439	12640	16087
440	12661	16050
441	12683	16012
442	12708	15979
443	12728	15939
444	12766	15921
445	12802	15902
446	12827	15868
447	12848	15830
448	12872	15796
449	12893	15758
450	12919	15726
451	12942	15691
452	12964	15654
453	12998	15632
454	13021	15597
455	13044	15561
456	13080	15542
457	13105	15508
458	13129	15475
459	13152	15440
460	13186	15417
461	13210	15383
462	13233	15348
463	13255	15312
464	13279	15278
465	13301	15242
466	13325	15209
467	13349	15174
468	13382	15151
469	13407	15119
470	13440	15095
471	13461	15058
472	13485	15025
473	13508	14989
474	13530	14955
475	13559	14927
476	13583	14893
477	13608	14860
478	13627	14822
479	13653	14790
480	13676	14756
481	13696	14719
482	13717	14683
483	13754	14663
484	13782	14634
485	13805	14601
486	13827	14565
487	13852	14533
488	13874	14498
489	13899	14466
490	13931	14442
491	13954	14408
492	13979	14376
493	14004	14344
494	14025	14308
495	14064	14291
496	14103	14274
497	14143	14257
498	14183	14240
499	14207	14207
500	14246	14189
501	14271	14157
502	14307	14136
503	14357	14129
504	14393	14108
505	14426	14084
506	14448	14049
507	14472	14016
508	14499	13986
509	14524	13955
510	14552	13925
511	14575	13891
512	14598	13858
513	14620	13823
514	14642	13789
515	14665	13755
516	14687	13721
517	14720	13697
518	14746	13666
519	14768	13632
520	14793	13600
521	14816	13567
522	14836	13531
523	14856	13495
524	14881	13463
525	14914	13439
526	14936	13405
527	14961	13374
528	14984	13341
529	15007	13308
530	15033	13278
531	15058	13247
532	15092	13223
533	15137	13209
534	15182	13195
535	15233	13187
536	15267	13163
537	15310	13148
538	15352	13130
539	15390	13110
540	15428	13090
541	15505	13102
542	15559	13095
543	15583	13062
544	15608	13031
545	15644	13008
546	15676	12982
547	15713	12960
548	15744	12934
549	15787	12916
550	15812	12885
551	15832	12849
552	15859	12819
553	15899	12799
554	15938	12779
555	15989	12768
556	16041	12757
557	16085	12741
558	16137	12731
559	16164	12700
560	16189	12668
561	16213	12636
562	16236	12602
563	16270	12578
564	16294	12545
565	16326	12519
566	16359	12493
567	16397	12471
568	16429	12444
569	16464	12420
570	16500	12396
571	16544	12379
572	16567	12346
573	16592	12314
574	16614	12280
575	16639	12248
576	16666	12218
577	16696	12190
578	16734	12167
579	16778	12150
580	16814	12125
581	16862	12111
582	16890	12081
583	16915	12049
584	16941	12018
585	16977	11994
586	17010	11967
587	17040	11940
588	17070	11911
589	17113	11892
590	17156	11872
591	17183	11842
592	17209	11811
593	17239	11783
594	17266	11753
595	17287	11718
596	17330	11698
597	17364	11672
598	17392	11643
599	17430	11620
600	17458	11590
601	17493	11565
602	17517	11533
603	17539	11499
604	17566	11469
605	17607	11447
606	17639	11420
607	17661	11387
608	17703	11366
609	17743	11344
610	17778	11318
611	17804	11287
612	17835	11259
613	17868	11233
614	17902	11207
615	17940	11183
616	17972	11156
617	18001	11127
618	18035	11101
619	18067	11073
620	18095	11043
621	18116	11009
622	18139	10977
623	18162	10943
624	18185	10911
625	18218	10884
626	18243	10852
627	18285	10831
628	18323	10807
629	18360	10783
630	18395	10757
631	18427	10729
632	18451	10698
633	18480	10668
634	18510	10639
635	18541	10611
636	18576	10586
637	18606	10557
638	18639	10530
639	18665	10499
640	18695	10470
641	18731	10445
642	18754	10412
643	18776	10379
644	18802	10348
645	18827	10317
646	18850	10284
647	18872	10251
648	18903	10223
649	18950	10203
650	18983	10176
651	19009	10146
652	19031	10113
653	19057	10082
654	19086	10053
655	19120	10026
656	19163	10004
657	19192	9975
658	19234	9952
659	19267	9925
660	19306	9901
661	19331	9870
662	19355	9838
663	19387	9810
664	19429	9787
665	19463	9760
666	19497	9734
667	19527	9705
668	19568	9681
669	19603	9655
670	19632	9625
671	19654	9593
672	19676	9560
673	19701	9529
674	19735	9502
675	19766	9473
676	19803	9448
677	19848	9426
678	19886	9401
679	19912	9370
680	19934	9337
681	19958	9306
682	19989	9277
683	20012	9245
684	20052	9221
685	20088	9195
686	20126	9169
687	20168	9146
688	20199	9117
689	20227	9087
690	20251	9055
691	20275	9024
692	20298	8992
693	20322	8960
694	20343	8927
695	20365	8895
696	20400	8868
697	20420	8835
698	20447	8805
699	20470	8773
700	20493	8741
701	20518	8710
702	20540	8677
703	20563	8646
704	20591	8616
705	20628	8590
706	20653	8559
707	20684	8531
708	20711	8500
709	20735	8469
710	20760	8438
711	20799	8413
712	20824	8382
713	20856	8354
714	20880	8322
715	20904	8291
716	20928	8260
717	20949	8228
718	20997	8206
719	21035	8180
720	21070	8153
721	21104	8125
722	21143	8100
723	21179	8074
724	21208	8044
725	21230	8012
726	21253	7980
727	21273	7948
728	21297	7917
729	21319	7885
730	21355	7858
731	21386	7830
732	21424	7804
733	21461	7777
734	21493	7749
735	21531	7723
736	21565	7695
737	21591	7665
738	21616	7634
739	21642	7604
740	21666	7573
741	21689	7541
742	21711	7509
743	21732	7477
744	21767	7450
745	21794	7420
746	21814	7388
747	21840	7357
748	21871	7329
749	21893	7297
750	21922	7268
751	21952	7239
752	21977	7209
753	22004	7179
754	22032	7149
755	22059	7119
756	22097	7093
757	22131	7065
758	22163	7037
759	22189	7007
760	22240	6985
761	22272	6956
762	22306	6928
763	22336	6899
764	22368	6871
765	22393	6840
766	22413	6808
767	22433	6776
768	22457	6745
769	22482	6715
770	22513	6686
771	22550	6660
772	22592	6634
773	22626	6606
774	22664	6579
775	22695	6551
776	22723	6521
777	22756	6493
778	22786	6464
779	22807	6432
780	22835	6403
781	22871	6375
782	22909	6349
783	22931	6317
784	22980	6294
785	23016	6266
786	23048	6238
787	23074	6207
788	23098	6177
789	23128	6148
790	23159	6119
791	23181	6088
792	23205	6057
793	23230	6026
794	23252	5996
795	23274	5964
796	23306	5936
797	23332	5906
798	23355	5875
799	23376	5844
800	23400	5813
801	23421	5782
802	23443	5751
803	23466	5720
804	23498	5692
805	23525	5662
806	23550	5632
807	23572	5601
808	23593	5570
809	23617	5539
810	23642	5509
811	23663	5478
812	23692	5449
813	23723	5420
814	23748	5390
815	23774	5360
816	23796	5330
817	23816	5299
818	23835	5267
819	23867	5239
820	23893	5209
821	23913	5178
822	23939	5148
823	23962	5118
824	23983	5087
825	24007	5057
826	24027	5026
827	24058	4997
828	24080	4967
829	24104	4937
830	24138	4908
831	24159	4878
832	24183	4848
833	24206	4817
834	24233	4788
835	24257	4758
836	24292	4730
837	24326	4702
838	24360	4674
839	24395	4646
840	24434	4619
841	24481	4593
842	24520	4566
843	24549	4537
844	24570	4507
845	24597	4477
846	24624	4448
847	24651	4418
848	24690	4391
849	24723	4363
850	24760	4335
851	24791	4306
852	24812	4276
853	24847	4247
854	24879	4219
855	24901	4189
856	24923	4158
857	24948	4129
858	24973	4099
859	25021	4073
860	25053	4044
861	25090	4016
862	25125	3988
863	25167	3961
864	25200	3932
865	25221	3902
866	25245	3872
867	25266	3842
868	25291	3812
869	25315	3782
870	25343	3753
871	25369	3723
872	25392	3693
873	25415	3664
874	25436	3633
875	25462	3604
876	25487	3574
877	25511	3544
878	25544	3516
879	25573	3487
880	25610	3459
881	25649	3431
882	25683	3403
883	25721	3375
884	25755	3346
885	25790	3318
886	25816	3288
887	25836	3258
888	25859	3228
889	25885	3199
890	25918	3170
891	25947	3141
892	25971	3111
893	25993	3082
894	26018	3052
895	26053	3024
896	26100	2997
897	26132	2968
898	26160	2939
899	26194	2910
900	26220	2881
901	26253	2852
902	26286	2823
903	26336	2796
904	26365	2767
905	26399	2739
906	26438	2710
907	26483	2683
908	26529	2655
909	26573	2628
910	26621	2600
911	26646	2571
912	26681	2542
913	26716	2513
914	26742	2484
915	26779	2455
916	26821	2427
917	26856	2398
918	26920	2372
919	26957	2344
920	26980	2314
921	27019	2285
922	27043	2256
923	27073	2226
924	27107	2197
925	27137	2168
926	27163	2139
927	27204	2110
928	27235	2081
929	27264	2052
930	27292	2022
931	27324	1993
932	27349	1964
933	27370	1934
934	27402	1904
935	27426	1875
936	27450	1845
937	27473	1815
938	27506	1786
939	27542	1758
940	27582	1729
941	27619	1700
942	27657	1671
943	27692	1642
944	27718	1613
945	27743	1583
946	27774	1554
947	27798	1524
948	27819	1495
949	27844	1465
950	27874	1436
951	27902	1406
952	27931	1377
953	27967	1348
954	27994	1319
955	28017	1289
956	28041	1259
957	28069	1230
958	28102	1201
959	28139	1172
960	28178	1143
961	28209	1114
962	28241	1085
963	28273	1055
964	28299	1026
965	28325	996
966	28352	967
967	28386	938
968	28412	908
969	28436	879
970	28473	850
971	28506	821
972	28531	791
973	28552	762
974	28577	732
975	28605	703
976	28630	674
977	28663	644
978	28688	615
979	28730	586
980	28751	556
981	28774	527
982	28795	497
983	28821	468
984	28848	439
985	28873	409
986	28897	380
987	28920	351
988	28945	321
989	28969	292
990	28993	263
991	29028	234
992	29063	204
993	29090	175
994	29139	146
995	29174	117
996	29209	87
997	29247	58
998	29284	29
999	29313	0
